"gene","marv.count","marv.lof.count","marv.ms.count","MSZ","pLI","pRec","pNull","scale.msz","lof.ms.aggregate","brain.expressed"
"ENPP2",1,0,1,0.453823663278935,0.00682819825531218,0.993170522893436,1.27885125214713e-06,0.032706696287259,0.105519557532874,TRUE
"HADHA",1,0,1,0.451099432134724,0.0151113309974031,0.984840331993952,4.83370086448278e-05,0.0325103632005129,0.104886140441139,TRUE
"EGFL6",1,0,1,0.447965594526855,2.66228154128096e-08,0.479907784943782,0.520092188433403,0.0322845101145067,0.104157484832101,FALSE
"RETN",1,0,1,0.446858058202331,0.0740027903756986,0.745502455689905,0.180494753934396,0.0322046908870746,0.103899969077918,FALSE
"GRIK1",1,0,1,0.444545893937727,3.20558900258698e-05,0.999388921315192,0.000579022794782239,0.0320380551197322,0.103362362580316,FALSE
"ABCB9",1,0,1,0.438622826675112,0.00290110755910397,0.984485544541478,0.0126133478994183,0.0316111845580526,0.101985176930117,TRUE
"EYA1",1,0,1,0.436396444409217,0.955704570459788,0.0442952359950226,1.93545189733321e-07,0.0314507310284507,0.101467515797379,FALSE
"GLTSCR1L",1,0,1,0.434582712769246,0.999918135203136,8.18647730707571e-05,2.37937447431562e-11,0.0313200168883671,0.101045800986939,TRUE
"MCF2L2",2,0,2,0.217275693981653,1.61269129905986e-12,0.999318944621419,0.000681055376968077,0.0156588796677478,0.101038517586072,FALSE
"IFNLR1",1,0,1,0.432368339101214,0.308615221609601,0.6875259516287,0.00385882676169887,0.031160428808487,0.100530932000216,TRUE
"ZNF451",2,0,2,0.21569278557864,1.98298362859696e-06,0.998711287306639,0.00128672970973219,0.015544800767556,0.100302426421965,TRUE
"ZMYM6",1,0,1,0.431002849369875,1.40245953692462e-08,0.997369246501599,0.00263073947380543,0.031062019092247,0.10021343892102,FALSE
"NXPH1",1,0,1,0.42929917212546,0.555861072202942,0.431146431908025,0.0129924958890325,0.0309392364814814,0.0998173131048588,FALSE
"LIMA1",1,0,1,0.42815335367468,1.28359617495965e-07,0.943007312073407,0.0569925595669752,0.0308566582928536,0.0995508962876621,TRUE
